Stadium,City,Country
Fatullah Osmani Stadium,Fatullah,Bangladesh
Holkar Cricket Stadium,Indore,India
Sheikh Zayed Cricket Stadium,Abu Dhabi,UAE
Warner Park,Basseterre,Saint Kitts & Nevis
Stormont,Belfast,Northern Ireland
Cambusdoon New Ground,Ayr,Scotland
Kinrara Academy Oval,Kuala Lumpur,Malaysia
Mombasa Sports Club Ground,Mombasa,Kenya
Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
Jaffery Sports Club Ground,Nairobi,Kenya
Ruaraka Sports Club Ground,Nairobi,Kenya
Sir Vivian Richards Stadium,St. John's,Antigua & Barbuda
Providence Stadium,Providence,Guyana
Titwood,Glasgow,Scotland
Hazelaarweg Stadion,Rotterdam,Netherlands
Maple Leaf North-West Ground,King City,Canada
Mannofield Park,Aberdeen,Scotland
Dubai International Cricket Stadium,Dubai,UAE
Windsor Park,Roseau,Dominica
Vidarbha Cricket Association Stadium,Nagpur,India
University Oval,Dunedin,New Zealand
Sportpark Westvliet,Voorburg,Netherlands
Sportpark Thurlede,Schiedam,Netherlands
Mahinda Rajapaksa International Stadium,Hambantota,Sri Lanka
Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Cobham Oval,Whangarei,New Zealand
Saurashtra Cricket Association Stadium,Rajkot,India
JSCA International Cricket Stadium,Ranchi,India
Himachal Pradesh Cricket Association Stadium,Dharamshala,India
ICC Global Cricket Academy,Dubai,UAE
Malahide Cricket Club Ground,Dublin,Ireland
Maharashtra Cricket Association Stadium,Pune,India
Saxton Oval,Nelson,New Zealand
Hagley Oval,Christchurch,New Zealand
Bert Sutcliffe Oval,Lincoln,New Zealand
Bay Oval,Tauranga,New Zealand
Bayuemas Oval,Pandamaran,Malaysia
Riverway Stadium,Townsville,Australia
Mission Road Ground,Mong Kok,Hong Kong
Greater Noida Sports Complex Ground,Greater Noida,India
Amini Park,Port Moresby,Papua New Guinea
Optus Stadium,Perth,Australia
Old Hararians,Harare,Zimbabwe
Assam Cricket Association Stadium (Barsapara Cricket Stadium),Guwahati,India
Greenfield International Stadium,Trivandrum,India
Sylhet International Cricket Stadium,Sylhet,Bangladesh
Rajiv Gandhi International Cricket Stadium,Dehradun,India
Wanderers Cricket Ground,Windhoek,Namibia
Affies Park,Windhoek,Namibia
Sportpark Het Schootsveld,Deventer,Netherlands
Bready,Magheramason,Northern Ireland
Central Broward Regional Park,Lauderhill,United States
Ekana Cricket Stadium,Lucknow,India
Oman Cricket Academy Ground (Ministry Turf 1),Muscat,Oman
Tribhuvan University International Cricket Ground,Kirtipur,Nepal
Sportpark Maarschalkerweerd,Utrecht,Netherlands
Oman Cricket Academy Ground (Ministry Turf 2),Muscat,Oman
West End Park International Cricket Stadium,Doha,Qatar
Moosa Stadium,Pearland,United States
United Ground,Windhoek,Namibia
Shaheed Veer Narayan Singh International Cricket Stadium,Raipur,India
Mulpani Cricket Stadium,Kathmandu,Nepal
Takashinga Cricket Club,Harare,Zimbabwe
Brian Lara Cricket Academy,San Fernando,Trinidad & Tobago
